familyId,name,layer,priorityScore,scoreComponents,status,governanceDecision,nextAction,rank
SOC-F07,Network Structure & Position,Social,77,"{""blockedEntities"": 12, ""isolatedEntities"": 7, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 25, ""rdsComplexity"": 24}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",1
BIO-F01,Sleep & Circadian Regulation,Biological,42,"{""blockedEntities"": 15, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 0, ""rdsCausalSources"": 5, ""rdsComplexity"": 10}",EXISTING_PILOT_FOLLOWUP_ONLY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",2
INF-F03,"Clarity, Complexity & Completeness",Informational,35,"{""blockedEntities"": 6, ""isolatedEntities"": 2, ""isolatedFamily"": 0, ""legacyReviewBurden"": 9, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 0, ""rdsCausalSources"": 10, ""rdsComplexity"": 8}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",3
SOC-F10,"Coordination, Accountability & Collective Capacity",Social,28,"{""blockedEntities"": 0, ""isolatedEntities"": 2, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 10, ""rdsComplexity"": 4}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",4
INS-F13,State Capacity & Legal-Institutional Quality,Institutional / Structural,24,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 4}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",5
SOC-F03,Interaction & Relational Embeddedness,Social,24,"{""blockedEntities"": 6, ""isolatedEntities"": 7, ""isolatedFamily"": 0, ""legacyReviewBurden"": 5, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 4}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",6
SOC-F06,"Status, Reputation & Relational Power",Social,24,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 6}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",7
INS-F04,Organizational Structure & Work Design,Institutional / Structural,22,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 5, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",8
SOC-F12,"Intergroup Contact, Boundaries & Competition",Social,22,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 4}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",9
TEC-F02,Interface Choice Architecture,Technological,21,"{""blockedEntities"": 6, ""isolatedEntities"": 3, ""isolatedFamily"": 4, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",10
CUL-F13,"Cultural Identity, Boundaries & Change",Cultural,20,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",11
ENV-F08,"Air, Chemical & Environmental Quality",Physical / Environmental,20,"{""blockedEntities"": 0, ""isolatedEntities"": 8, ""isolatedFamily"": 4, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",12
INS-F03,Administrative Burden & Procedural Friction,Institutional / Structural,20,"{""blockedEntities"": 6, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",13
PSY-F05,Affect & Emotion,Psychological,19,"{""blockedEntities"": 0, ""isolatedEntities"": 7, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",14
SOC-F04,"Inclusion, Support & Social Integration",Social,19,"{""blockedEntities"": 0, ""isolatedEntities"": 2, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",15
INF-F01,Information Availability & Exposure,Informational,18,"{""blockedEntities"": 0, ""isolatedEntities"": 2, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",16
PSY-F04,"Motivation, Goals & Psychological Needs",Psychological,18,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",17
PSY-F12,"Agency, Attribution & Moral Judgment",Psychological,17,"{""blockedEntities"": 0, ""isolatedEntities"": 7, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",18
SOC-F05,"Cooperation, Reciprocity & Mutual Dependence",Social,17,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",19
INS-F01,Formal Rules & Authority Allocation,Institutional / Structural,16,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",20
PSY-F09,"Planning, Self-Regulation & Executive Control",Psychological,16,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 9, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",21
PSY-F14,Stable Dispositions & Temperament,Psychological,16,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",22
CUL-F01,Shared Values & Moral Priorities,Cultural,15,"{""blockedEntities"": 0, ""isolatedEntities"": 9, ""isolatedFamily"": 0, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",23
ENV-F11,"Hazards, Safety & Physical Security",Physical / Environmental,15,"{""blockedEntities"": 0, ""isolatedEntities"": 2, ""isolatedFamily"": 0, ""legacyReviewBurden"": 9, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",24
INF-F12,"Veracity, Omission & Correction",Informational,15,"{""blockedEntities"": 0, ""isolatedEntities"": 0, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 5, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",25
INS-F05,"Monitoring, Enforcement & Accountability",Institutional / Structural,15,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",26
INS-F09,"Political Power, Rights & Differential Treatment",Institutional / Structural,15,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",27
PSY-F03,Normative & Relational Perceptions,Psychological,15,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",28
